"datum";"wahl";"ags";"gebiet-nr";"gebiet-name";"anz-schnellmeldungen";"max-schnellmeldungen";"A1";"A2";"A3";"A";"B";"B1";"C";"D";"D1";"D2"
03.04.23;"obstichwahl-test";6411000;250;"00250 - Chr.-Morgenstern-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;260;"00260 - Kiga Ev.Thomasgemeinde";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;270;"00270 - Kiga Ev.Thomasgemeinde";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;280;"00280 - Abendgymnasium";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;290;"00290 - Abendgymnasium";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;310;"00310 - Abendgymnasium";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;320;"00320 - Abendgymnasium";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;330;"00330 - Abendgymnasium";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;340;"00340 - Elly-Heuss-Knapp-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;350;"00350 - Elly-Heuss-Knapp-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;370;"00370 - Käthe-Kollwitz-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;380;"00380 - Käthe-Kollwitz-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;390;"00390 - Käthe-Kollwitz-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;411;"00411 - Erich Kästner-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;412;"00412 - Erich Kästner-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;413;"00413 - Familienzentrum";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;421;"00421 - Erich Kästner-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;422;"00422 - Erich Kästner-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;431;"00431 - Kinderhort, Jägertorstr.";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;432;"00432 - Erich Kästner-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;440;"00440 - Kinderhort, Jägertorstr.";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;450;"00450 - Stadtteilschule Arheilg.";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;460;"00460 - Stadtteilschule Arheilg.";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;481;"00481 - Astrid-Lindgren-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;482;"00482 - Wilhelm-Busch-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;483;"00483 - Wilhelm-Busch-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;490;"00490 - Astrid-Lindgren-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;500;"00500 - Astrid-Lindgren-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;510;"00510 - Astrid-Lindgren-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;521;"00521 - Wilhelm-Busch-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;522;"00522 - Wilhelm-Busch-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;530;"00530 - Freiwillige Feuerwehr DA-Arheilgen";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;540;"00540 - Ludwig-Georgs-Gymnasium";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;550;"00550 - Ludwig-Georgs-Gymnasium";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;560;"00560 - Ludwig-Georgs-Gymnasium";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;570;"00570 - Heinrich-Hoffmann-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;580;"00580 - Heinrich-Hoffmann-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;600;"00600 - Georg-Büchner-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;610;"00610 - Alice-Eleonoren-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;620;"00620 - Lichtenbergschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;630;"00630 - Herderschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;640;"00640 - Herderschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;650;"00650 - Lichtenbergschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;660;"00660 - Herderschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;680;"00680 - Mornewegschule (Schulcontainer)";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;690;"00690 - Mornewegschule (Schulcontainer)";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;710;"00710 - Georg-Moller-Haus";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;720;"00720 - Mornewegschule (Schulcontainer)";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;730;"00730 - Heinrich-Heine-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;750;"00750 - Heinrich-Heine-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;760;"00760 - Heinrich-Heine-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;780;"00780 - Wilhelm-Leuschner-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;790;"00790 - Wilhelm-Leuschner-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;800;"00800 - Verwaltungsseminar";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;810;"00810 - Verwaltungsseminar";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;820;"00820 - Friedrich-Ebert-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;831;"00831 - Friedrich-Ebert-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;832;"00832 - Friedrich-Ebert-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;840;"00840 - Friedrich-Ebert-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;850;"00850 - Friedrich-Ebert-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;860;"00860 - Ehem. Außenst. Georg-Aug.-Zinn-Sch.";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;870;"00870 - Ehem. Außenst. Georg-Aug.-Zinn-Sch.";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;880;"00880 - Zinn-Schule, Brechtstr.";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;890;"00890 - Zinn-Schule, Brechtstr.";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;900;"00900 - Frankensteinschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;910;"00910 - Andersenschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;920;"00920 - Andersenschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;930;"00930 - Andersenschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;940;"00940 - Gutenbergschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;950;"00950 - Gutenbergschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;960;"00960 - Haus der Vereine";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;970;"00970 - Haus der Vereine";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;980;"00980 - Ludwig-Schwamb-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;990;"00990 - Ludwig-Schwamb-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;1000;"01000 - Ludwig-Schwamb-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;1010;"01010 - Ludwig-Schwamb-Schule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;1020;"01020 - Haus der Vielfalt";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;1030;"01030 - Haus der Vielfalt";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;1040;"01040 - Frankensteinschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;1050;"01050 - Frankensteinschule";0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;91010;91010;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;91011;91011;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;91012;91012;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;91013;91013;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;91014;91014;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;91015;91015;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;91016;91016;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;92020;92020;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;92021;92021;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;92022;92022;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;92023;92023;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;92024;92024;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;92025;92025;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;92026;92026;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;92027;92027;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;92028;92028;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;93030;93030;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";6411000;93031;93031;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;93032;93032;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;93033;93033;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;93034;93034;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;93035;93035;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;93036;93036;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;94040;94040;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;94041;94041;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;94042;94042;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;94043;94043;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;94044;94044;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;94045;94045;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;95050;95050;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;95051;95051;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;95052;95052;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;95053;95053;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;95054;95054;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;95055;95055;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;96060;96060;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;96061;96061;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;96062;96062;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;96063;96063;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;96064;96064;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;96065;96065;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;96066;96066;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;97070;97070;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;97071;97071;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;97072;97072;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;97073;97073;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;97074;97074;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;97075;97075;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;97076;97076;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;97077;97077;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;98080;98080;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;98081;98081;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;99090;99090;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;99091;99091;0;1;;;;;;;;;;
03.04.23;"obstichwahl-test";;99092;99092;0;1;;;;;;;;;;
