nr,name,lon,lat
1,Altstadt,8.682385346400634,50.11059669873516
2,Innenstadt,8.682664888207869,50.113790989177375
4,Westend-Süd,8.6594393465439925,50.11682467903111
5,Westend-Nord,8.666488952498467,50.128769620533795
6,Nordend-West,8.684596043386934,50.13022858244322
7,Nordend-Ost,8.69761974358955,50.127318654892264
8,Ostend,8.719218276147204,50.11554639352114
9,Bornheim,8.712407551447747,50.13090801018288
10,Gutleut- und Bahnhofsviertel,8.652137942960298,50.099479845695974
11,Gallus,8.636377745265355,50.10300477630784
12,Bockenheim,8.632922516089874,50.12128753657858
13,Sachsenhausen-Nord,8.684579993638577,50.10051804775371
14,Sachsenhausen-Süd und Flughafen,8.629663957345496,50.0607635296547
16,Oberrad,8.727138168461476,50.09922899999497
17,Niederrad,8.636199605275262,50.081631798202295
18,Schwanheim,8.572652070944704,50.081760019105545
19,Griesheim,8.600109548586545,50.09781734654457
20,Rödelheim,8.603076601631098,50.127692431637506
21,Hausen,8.626134516198546,50.13524298077671
22,Praunheim,8.61444644716483,50.14547905112678
24,Heddernheim,8.64020132453368,50.158128239125205
25,Niederursel,8.616911198776547,50.16683966510584
26,Ginnheim,8.648134546192246,50.14388748058928
27,Dornbusch,8.670541998003081,50.14434313041997
28,Eschersheim,8.659950213724542,50.16002839395001
29,Eckenheim,8.683795236784233,50.148564823086005
30,Preungesheim,8.697198159142667,50.15544843144313
31,Bonames,8.665887880254154,50.18258113675648
32,Berkersheim,8.702941786636124,50.17015956481773
33,Riederwald,8.73274589886058,50.12667040584185
34,Seckbach,8.726644066440096,50.147246840458955
35,Fechenheim,8.762275115113775,50.12551773891441
36,Höchst,8.539657322936813,50.098523172532
37,Nied,8.57676379509509,50.103479453362766
38,Sindlingen,8.51273746688725,50.07800492013246
39,Zeilsheim,8.495768400332896,50.097784690964886
40,Unterliederbach,8.525490184772172,50.10992510336304
41,Sossenheim,8.574019745075416,50.12010605434964
42,Nieder-Erlenbach,8.709219115856458,50.20871646737095
43,Kalbach-Riedberg,8.639008245521376,50.1846309062546
44,Harheim,8.689844680792895,50.18583895746724
45,Nieder-Eschbach,8.668094243977997,50.20106152063871
46,Bergen-Enkheim,8.766772308170399,50.15913246211432
47,Frankfurter Berg,8.673427563622,50.169778678198924
